Date,Customer,Job #_y,Item_y,AQL Shift,Inspection Station (Gluer),Total Pieces,Defect Code,Defect Description,Defective Samples,Total Samples,Total Estimated Defective,Department of Origin,Machine of Origin
,,411185,2042.0,,,,,,,,0.0,,
,,420008,2042.0,,,,,,,,0.0,,
,,410974,2067.0,,,,,,,,0.0,,
,,411474,2067.0,,,,,,,,0.0,,
,,421011,2068.0,,,,,,,,0.0,,
,,412639,2069.0,,,,,,,,0.0,,
,,410110,2070.0,,,,,,,,0.0,,
,,410974,2070.0,,,,,,,,0.0,,
,,411474,2070.0,,,,,,,,0.0,,
,,412639,2070.0,,,,,,,,0.0,,
,,412639,2071.0,,,,,,,,0.0,,
,,410974,2072.0,,,,,,,,0.0,,
,,411474,2072.0,,,,,,,,0.0,,
,,411903,2072.0,,,,,,,,0.0,,
,,421011,2072.0,,,,,,,,0.0,,
,,412639,2073.0,,,,,,,,0.0,,
,,411618,2074.0,,,,,,,,0.0,,
,,412639,2074.0,,,,,,,,0.0,,
,,410111,2076.0,,,,,,,,0.0,,
,,421010,2076.0,,,,,,,,0.0,,
,,401188,2077.0,,,,,,,,0.0,,
,,401529,2077.0,,,,,,,,0.0,,
,,411903,2077.0,,,,,,,,0.0,,
,,421010,2078.0,,,,,,,,0.0,,
,,410111,2079.0,,,,,,,,0.0,,
,,410246,2079.0,,,,,,,,0.0,,
,,410526,2079.0,,,,,,,,0.0,,
,,410798,2079.0,,,,,,,,0.0,,
,,410809,2079.0,,,,,,,,0.0,,
,,410821,2079.0,,,,,,,,0.0,,
,,411265,2079.0,,,,,,,,0.0,,
,,410974,2079.0,,,,,,,,0.0,,
,,411474,2079.0,,,,,,,,0.0,,
,,412640,2079.0,,,,,,,,0.0,,
,,401188,2080.0,,,,,,,,0.0,,
,,401529,2080.0,,,,,,,,0.0,,
,,401901,2080.0,,,,,,,,0.0,,
,,402150,2081.0,,,,,,,,0.0,,
,,410111,2081.0,,,,,,,,0.0,,
,,421010,2081.0,,,,,,,,0.0,,
,,410246,2082.0,,,,,,,,0.0,,
,,401058,2083.0,,,,,,,,0.0,,
,,401342,2083.0,,,,,,,,0.0,,
,,401058,2089.0,,,,,,,,0.0,,
,,401188,2089.0,,,,,,,,0.0,,
,,401342,2089.0,,,,,,,,0.0,,
,,401646,2089.0,,,,,,,,0.0,,
,,401901,2089.0,,,,,,,,0.0,,
,,402150,2089.0,,,,,,,,0.0,,
,,410245,2089.0,,,,,,,,0.0,,
,,410974,2089.0,,,,,,,,0.0,,
,,411474,2089.0,,,,,,,,0.0,,
,,411904,2089.0,,,,,,,,0.0,,
